City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,sorsk,54.0033,90.2467,6.95,63,10,1.26,RU,1696645503
280,puri,19.8,85.85,28.29,70,98,2.87,IN,1696645504
281,vershino-darasunskiy,52.35,115.5167,8.54,65,100,1.9,RU,1696645504
282,kaa-khem,51.6833,94.7333,8.56,53,43,1.14,RU,1696645504
283,medina,24.4686,39.6142,26.24,11,0,1.54,SA,1696645277
284,karratha,-20.7377,116.8463,33.28,17,0,10.2,AU,1696645229
285,hammerfest,70.6634,23.6821,2.25,69,100,5.14,NO,1696645504
286,masuguru,-11.3667,38.4167,22.36,82,81,1.83,TZ,1696645505
287,campana,-34.1687,-58.9591,16.9,56,57,2.61,AR,1696645505
288,kogalym,62.2654,74.4791,5.43,89,100,3.72,RU,1696645505
289,vernon,50.2581,-119.2691,16.53,70,92,1.03,CA,1696645505
290,enewetak,11.3474,162.3373,29.08,72,31,7.74,MH,1696645505
291,saint-francois,46.4154,3.9054,1.69,100,100,1.54,FR,1696645505
292,ponnani,10.767,75.9252,24.62,85,2,1.91,IN,1696645506
293,fale old settlement,-9.3852,-171.2468,28.67,76,80,3.97,TK,1696645506
294,klyuchi,52.2667,79.1667,9.24,72,2,2.48,RU,1696645359
295,kayes,14.0,-11.0,26.18,74,100,0.77,ML,1696645506
296,vilyuchinsk,52.9306,158.4028,11.15,79,100,3.0,RU,1696645506
297,valentin gomez farias,28.2167,-106.5833,18.16,65,96,4.71,MX,1696645506
298,sao jose da coroa grande,-8.8978,-35.1478,24.85,88,38,4.11,BR,1696645507
299,nadym,65.5333,72.5167,2.58,88,9,5.12,RU,1696645507
300,richards bay,-28.783,32.0377,22.58,65,3,7.32,ZA,1696645507
301,qurayyat,31.3318,37.3428,19.1,59,0,3.09,SA,1696645507
302,keflavik,64.0049,-22.5624,3.24,75,20,1.03,IS,1696645507
303,severnoye,56.3491,78.3619,7.77,76,8,2.68,RU,1696645508
304,luderitz,-26.6481,15.1594,14.93,75,100,7.44,NA,1696645508
305,myadzyel,54.8731,26.9359,12.24,86,100,9.18,BY,1696645508
306,hasaki,35.7333,140.8333,22.22,41,14,2.68,JP,1696645508
307,pasuquin,18.3328,120.6177,30.97,70,20,4.12,PH,1696645508
308,muntok,-2.0667,105.1833,29.61,61,16,4.18,ID,1696645508
309,balykshi,47.0667,51.8667,12.0,82,40,4.0,KZ,1696645509
310,paita,-5.0892,-81.1144,20.07,83,80,6.36,PE,1696645509
311,hovsan,40.3744,50.0853,20.07,73,20,2.06,AZ,1696645509
312,florida,28.7505,-82.5001,26.01,81,0,0.0,US,1696645509
313,sisimiut,66.9395,-53.6735,3.07,95,100,22.55,GL,1696645509
314,banamba,13.55,-7.45,26.48,58,97,1.02,ML,1696645509
315,lebu,-37.6167,-73.65,8.49,79,1,2.56,CL,1696645509
316,martuk,50.7475,56.5056,10.19,86,100,2.95,KZ,1696645510
317,capinopolis,-18.6819,-49.5697,27.81,57,30,2.79,BR,1696645510
318,fortuna,40.5982,-124.1573,18.7,76,0,0.0,US,1696645510
319,port augusta,-32.5,137.7667,21.61,23,0,2.39,AU,1696645510
320,hohhot,40.8106,111.6522,11.16,76,40,1.0,CN,1696645510
321,toliara,-23.35,43.6667,22.96,39,0,3.17,MG,1696645510
322,yeed,4.55,43.0333,24.52,76,61,6.65,SO,1696645511
323,kodinsk,58.6881,99.1844,9.69,90,96,1.46,RU,1696645511
324,el calafate,-50.3408,-72.2768,4.0,83,51,6.39,AR,1696645511
325,genhe,50.7833,121.5167,8.7,49,100,0.65,CN,1696645511
326,tutoia,-2.7619,-42.2744,26.72,80,47,5.45,BR,1696645511
327,bel ombre,-4.6167,55.4167,26.91,74,20,7.2,SC,1696645511
328,sambava,-14.2667,50.1667,21.22,85,95,4.84,MG,1696645512
329,hirara,24.8,125.2833,30.92,74,75,5.66,JP,1696645512
330,jabal os saraj,35.1183,69.2378,14.93,41,4,2.5,AF,1696645512
331,libertad,8.9442,125.5019,30.11,66,92,2.51,PH,1696645512
332,port macquarie,-31.4333,152.9167,19.94,43,28,6.85,AU,1696645306
333,jamestown,42.097,-79.2353,15.01,98,100,1.54,US,1696645481
334,cambria,35.5641,-121.0808,30.61,48,0,0.45,US,1696645512
335,plastun,44.7561,136.2939,13.38,51,41,3.58,RU,1696645513
336,suva,-18.1416,178.4415,25.71,57,75,5.14,FJ,1696645513
337,rio grande,-32.035,-52.0986,17.19,94,58,4.42,BR,1696645513
338,iskateley,67.6803,53.1512,0.57,91,11,5.81,RU,1696645280
339,broome,42.2506,-75.833,19.21,94,100,2.57,US,1696645513
340,girvan,55.2426,-4.8555,16.0,96,100,8.25,GB,1696645513
341,carutapera,-1.195,-46.02,26.4,78,10,3.85,BR,1696645513
342,vitebsk,55.1905,30.2033,8.27,86,100,9.13,BY,1696645315
343,susanville,40.4163,-120.653,19.51,56,0,0.0,US,1696645514
344,al ghayzah,16.2079,52.176,25.62,81,33,1.48,YE,1696645514
345,yukhnov,54.7444,35.2297,2.43,81,100,2.93,RU,1696645514
346,st. john's,47.5649,-52.7093,12.1,97,100,4.12,CA,1696645234
347,san jose de feliciano,-30.3845,-58.7517,15.17,73,0,4.03,AR,1696645514
348,harper,4.375,-7.7169,25.22,87,100,3.42,LR,1696645514
349,berdigestyakh,62.0989,126.6992,1.27,98,100,2.68,RU,1696645515
350,darwin,-12.4611,130.8418,33.27,62,20,2.57,AU,1696645473
351,springfield,37.2153,-93.2982,8.32,78,0,1.54,US,1696645241
352,kayangel,8.0823,134.7173,28.65,78,92,6.81,PW,1696645515
353,sokoni,-6.4333,39.55,25.09,76,45,4.22,TZ,1696645515
354,wynyard,-41.0,145.7167,15.54,44,17,1.4,AU,1696645515
355,walvis bay,-22.9575,14.5053,12.83,94,0,4.63,NA,1696645516
356,calipatria,33.1256,-115.5142,34.27,22,0,2.05,US,1696645516
